videoId,channelId,durationSecs,errorType,videoViews,channelViews,lr,subs,removeTime
7MbBJ-Javew,UCMRq9ADyETX-Touo4Srph5g,343.0,Unavailable,168.0,142350141.0,C,156000.0,2902.0
rrMv7d-MXsQ,UCMRq9ADyETX-Touo4Srph5g,213.0,Unavailable,607.0,142350141.0,C,156000.0,2944.0
RSCEOj0SUZ0,UCMRq9ADyETX-Touo4Srph5g,50.0,Unavailable,201.0,142350141.0,C,156000.0,2873.0
Ngn0sn1Agd0,UCMRq9ADyETX-Touo4Srph5g,208.0,Unavailable,70.0,142350141.0,C,156000.0,1956.0
jzbvDAoDOKE,UCMRq9ADyETX-Touo4Srph5g,252.0,Unavailable,709.0,142350141.0,C,156000.0,3202.0
ZMHQfXQn-FY,UCMRq9ADyETX-Touo4Srph5g,106.0,Unavailable,207.0,142350141.0,C,156000.0,2976.0
e8Cvhddi7DA,UCMRq9ADyETX-Touo4Srph5g,382.0,Unavailable,52.0,142350141.0,C,156000.0,1900.0
XUbRsV8CteE,UCMRq9ADyETX-Touo4Srph5g,22.0,Unavailable,91.0,142350141.0,C,156000.0,3163.0
cFb-vkpocck,UCMRq9ADyETX-Touo4Srph5g,146.0,Unavailable,141.0,142350141.0,C,156000.0,2926.0
qr3Qxr2e7LQ,UCMRq9ADyETX-Touo4Srph5g,191.0,Unavailable,438.0,142350141.0,C,156000.0,2814.0
nw1zru84okg,UCMRq9ADyETX-Touo4Srph5g,110.0,Unavailable,60.0,142350141.0,C,156000.0,2964.0
tFHucuL29no,UCMRq9ADyETX-Touo4Srph5g,1989.0,Unavailable,133057.0,142350141.0,C,156000.0,2908.0
y2eI_c5kTAA,UCMRq9ADyETX-Touo4Srph5g,105.0,Unavailable,101.0,142350141.0,C,156000.0,3106.0
aIbDgbbfzME,UCMRq9ADyETX-Touo4Srph5g,323.0,Unavailable,9644.0,142350141.0,C,156000.0,3109.0
11R3-dyKhuo,UCMRq9ADyETX-Touo4Srph5g,132.0,Unavailable,561.0,142350141.0,C,156000.0,3185.0
xm_7MZEJL54,UCMRq9ADyETX-Touo4Srph5g,150.0,Unavailable,25.0,142350141.0,C,156000.0,3110.0
dUx2eKRkPH0,UCMRq9ADyETX-Touo4Srph5g,197.0,Unavailable,517.0,142350141.0,C,156000.0,2989.0
yRI0MjFFLm0,UCMRq9ADyETX-Touo4Srph5g,157.0,Unavailable,54.0,142350141.0,C,156000.0,2751.0
r31VweiExXw,UCMRq9ADyETX-Touo4Srph5g,104.0,Unavailable,88.0,142350141.0,C,156000.0,3077.0
LOnyVsJc2NA,UCMRq9ADyETX-Touo4Srph5g,140.0,Unavailable,14915.0,142350141.0,C,156000.0,2977.0
RC07E63jGpo,UCMRq9ADyETX-Touo4Srph5g,195.0,Unavailable,3143.0,142350141.0,C,156000.0,2822.0
9eAygXt-8Ro,UCMRq9ADyETX-Touo4Srph5g,184.0,Unavailable,92.0,142350141.0,C,156000.0,2854.0
duANCj5koRs,UCMRq9ADyETX-Touo4Srph5g,533.0,Unavailable,38640.0,142350141.0,C,156000.0,3129.0
BVqgLTKUYl0,UCMRq9ADyETX-Touo4Srph5g,169.0,Unavailable,98.0,142350141.0,C,156000.0,2761.0
dqnuA0BXaLo,UCMRq9ADyETX-Touo4Srph5g,245.0,Unavailable,494.0,142350141.0,C,156000.0,2783.0
DRQILcQ527I,UCMRq9ADyETX-Touo4Srph5g,156.0,Unavailable,259.0,142350141.0,C,156000.0,2752.0
-wR6TvJu4pI,UCMRq9ADyETX-Touo4Srph5g,153.0,Unavailable,122.0,142350141.0,C,156000.0,3180.0
DKYJtmqduZo,UCMRq9ADyETX-Touo4Srph5g,269.0,Unavailable,319.0,142350141.0,C,156000.0,3073.0
hW1pBAbmRZU,UCMRq9ADyETX-Touo4Srph5g,195.0,Unavailable,1205.0,142350141.0,C,156000.0,1825.0
q921UroRjUs,UCMRq9ADyETX-Touo4Srph5g,287.0,Unavailable,688.0,142350141.0,C,156000.0,2792.0
pjBGSbBBqUk,UCMRq9ADyETX-Touo4Srph5g,150.0,Unavailable,447.0,142350141.0,C,156000.0,3003.0
CuOAJT_x9CE,UCMRq9ADyETX-Touo4Srph5g,169.0,Unavailable,167.0,142350141.0,C,156000.0,3065.0
-f1Vi21kaMQ,UCMRq9ADyETX-Touo4Srph5g,293.0,Unavailable,78.0,142350141.0,C,156000.0,3181.0
Y0BvEmxCAeE,UCMRq9ADyETX-Touo4Srph5g,361.0,Unavailable,235.0,142350141.0,C,156000.0,3070.0
MVjU8hRTKcs,UCMRq9ADyETX-Touo4Srph5g,260.0,Unavailable,30.0,142350141.0,C,156000.0,3164.0
AScRuEKOayg,UCMRq9ADyETX-Touo4Srph5g,230.0,Unavailable,76.0,142350141.0,C,156000.0,2027.0
ZZ8hTil33Fg,UCMRq9ADyETX-Touo4Srph5g,105.0,Unavailable,150.0,142350141.0,C,156000.0,2961.0
OUDYqsGwKZE,UCMRq9ADyETX-Touo4Srph5g,394.0,Unavailable,209.0,142350141.0,C,156000.0,3033.0
7jzlV7jgJsE,UCMRq9ADyETX-Touo4Srph5g,79.0,Unavailable,835.0,142350141.0,C,156000.0,2910.0
WzTsuE84bgE,UCMRq9ADyETX-Touo4Srph5g,197.0,Unavailable,107.0,142350141.0,C,156000.0,3178.0
I_E51ibWs78,UCMRq9ADyETX-Touo4Srph5g,154.0,Unavailable,1488.0,142350141.0,C,156000.0,3061.0
1EU2xH0123M,UCMRq9ADyETX-Touo4Srph5g,229.0,Unavailable,7173.0,142350141.0,C,156000.0,2985.0
58OKrlQPZP4,UCMRq9ADyETX-Touo4Srph5g,70.0,Unavailable,99.0,142350141.0,C,156000.0,3178.0
2RLlYBcAyV8,UCMRq9ADyETX-Touo4Srph5g,207.0,Unavailable,34.0,142350141.0,C,156000.0,2027.0
nAANb2VXef0,UCMRq9ADyETX-Touo4Srph5g,107.0,Unavailable,312.0,142350141.0,C,156000.0,3061.0
Q-zDW7eNYOs,UCMRq9ADyETX-Touo4Srph5g,243.0,Unavailable,23791.0,142350141.0,C,156000.0,3122.0
DivUDEzMjbQ,UCMRq9ADyETX-Touo4Srph5g,122.0,Unavailable,165.0,142350141.0,C,156000.0,3177.0
3lHeQcHCl0k,UCMRq9ADyETX-Touo4Srph5g,107.0,Unavailable,44.0,142350141.0,C,156000.0,3050.0
-znGB_JWOTg,UCMRq9ADyETX-Touo4Srph5g,114.0,Unavailable,158.0,142350141.0,C,156000.0,3112.0
CEAX8AhITF4,UCMRq9ADyETX-Touo4Srph5g,254.0,Unavailable,202.0,142350141.0,C,156000.0,2798.0
rKz47qOdhAI,UCMRq9ADyETX-Touo4Srph5g,158.0,Unavailable,62.0,142350141.0,C,156000.0,3156.0
cSM0Ydwb53E,UCMRq9ADyETX-Touo4Srph5g,207.0,Unavailable,88.0,142350141.0,C,156000.0,2945.0
MJB4Xq_lJQo,UCMRq9ADyETX-Touo4Srph5g,207.0,Unavailable,238.0,142350141.0,C,156000.0,2947.0
wS_9cXpGAE4,UCMRq9ADyETX-Touo4Srph5g,159.0,Unavailable,211.0,142350141.0,C,156000.0,2921.0
qlc6RPETzdg,UCMRq9ADyETX-Touo4Srph5g,384.0,Unavailable,92.0,142350141.0,C,156000.0,2999.0
m4aDGfbq92E,UCMRq9ADyETX-Touo4Srph5g,431.0,Unavailable,5321.0,142350141.0,C,156000.0,2908.0
J5XEhylFJOw,UCMRq9ADyETX-Touo4Srph5g,447.0,Unavailable,2282.0,142350141.0,C,156000.0,2843.0
FfcwFwk0xgg,UCMRq9ADyETX-Touo4Srph5g,331.0,Unavailable,111.0,142350141.0,C,156000.0,2909.0
vkxJGVth9jA,UCMRq9ADyETX-Touo4Srph5g,82.0,Unavailable,959.0,142350141.0,C,156000.0,2869.0
r5O8tBYtlz4,UCMRq9ADyETX-Touo4Srph5g,335.0,Unavailable,193.0,142350141.0,C,156000.0,2950.0
2ov1qcmVma4,UCMRq9ADyETX-Touo4Srph5g,301.0,Unavailable,325.0,142350141.0,C,156000.0,3035.0
2Em6k2lZTTk,UCMRq9ADyETX-Touo4Srph5g,318.0,Unavailable,138.0,142350141.0,C,156000.0,2894.0
n3wsJdLmmMk,UCMRq9ADyETX-Touo4Srph5g,144.0,Unavailable,2898.0,142350141.0,C,156000.0,2918.0
z7JN7zPlhIw,UCMRq9ADyETX-Touo4Srph5g,71.0,Unavailable,7385.0,142350141.0,C,156000.0,2911.0
Tqr3THDpUow,UCMRq9ADyETX-Touo4Srph5g,221.0,Unavailable,67.0,142350141.0,C,156000.0,3016.0
xg-bCpnfrs8,UCMRq9ADyETX-Touo4Srph5g,381.0,Unavailable,121.0,142350141.0,C,156000.0,3043.0
yW6uLESQ6Pk,UCMRq9ADyETX-Touo4Srph5g,335.0,Unavailable,178.0,142350141.0,C,156000.0,3095.0
SzMUCgAolg4,UCMRq9ADyETX-Touo4Srph5g,349.0,Unavailable,221.0,142350141.0,C,156000.0,2944.0
zPHz_GFl-jQ,UCMRq9ADyETX-Touo4Srph5g,70.0,Unavailable,1939.0,142350141.0,C,156000.0,2893.0
zKP7XtBVR4Q,UCMRq9ADyETX-Touo4Srph5g,84.0,Unavailable,455.0,142350141.0,C,156000.0,3080.0
JTvNpIVgPJ0,UCMRq9ADyETX-Touo4Srph5g,43.0,Unavailable,509.0,142350141.0,C,156000.0,3024.0
M5Ox6YoLDMs,UCMRq9ADyETX-Touo4Srph5g,281.0,Unavailable,2935.0,142350141.0,C,156000.0,3024.0
jHlXXrfmoKs,UCMRq9ADyETX-Touo4Srph5g,142.0,Unavailable,1775.0,142350141.0,C,156000.0,3103.0
PuIG_L5zHwo,UCMRq9ADyETX-Touo4Srph5g,295.0,Unavailable,162.0,142350141.0,C,156000.0,3094.0
6iqI-334a3k,UCMRq9ADyETX-Touo4Srph5g,102.0,Unavailable,2028.0,142350141.0,C,156000.0,2822.0
xP0EtHuNjv8,UCMRq9ADyETX-Touo4Srph5g,115.0,Unavailable,1268.0,142350141.0,C,156000.0,2910.0
8b_ZSEZoBEo,UCMRq9ADyETX-Touo4Srph5g,112.0,Unavailable,171.0,142350141.0,C,156000.0,2854.0
KApdib-MmGc,UCMRq9ADyETX-Touo4Srph5g,147.0,Unavailable,290.0,142350141.0,C,156000.0,2962.0
Yvmtd0NyS6g,UCMRq9ADyETX-Touo4Srph5g,89.0,Unavailable,1317.0,142350141.0,C,156000.0,3025.0
3BVwgtMVbDo,UCMRq9ADyETX-Touo4Srph5g,267.0,Unavailable,1188.0,142350141.0,C,156000.0,3050.0
zLX1FP3LoOc,UCMRq9ADyETX-Touo4Srph5g,267.0,Unavailable,133.0,142350141.0,C,156000.0,3094.0
nyR-YvvH_nc,UCMRq9ADyETX-Touo4Srph5g,228.0,Unavailable,68.0,142350141.0,C,156000.0,2999.0
vAUkfl1uVCM,UCMRq9ADyETX-Touo4Srph5g,284.0,Unavailable,103.0,142350141.0,C,156000.0,3094.0
BpEOefDvUhc,UCMRq9ADyETX-Touo4Srph5g,292.0,Unavailable,88.0,142350141.0,C,156000.0,2821.0
jsDyqIxdFcU,UCMRq9ADyETX-Touo4Srph5g,133.0,Unavailable,281.0,142350141.0,C,156000.0,3173.0
SLqSjpZHNFw,UCMRq9ADyETX-Touo4Srph5g,238.0,Unavailable,1681.0,142350141.0,C,156000.0,3036.0
PHmQre2k6Qk,UCMRq9ADyETX-Touo4Srph5g,10.0,Unavailable,1804.0,142350141.0,C,156000.0,3114.0
v2RfSa6kdLo,UCMRq9ADyETX-Touo4Srph5g,338.0,Unavailable,35192.0,142350141.0,C,156000.0,3109.0
NhNy8_QVJW0,UCMRq9ADyETX-Touo4Srph5g,280.0,Unavailable,132.0,142350141.0,C,156000.0,2880.0
aRv5nc2GSA0,UCMRq9ADyETX-Touo4Srph5g,500.0,Unavailable,258.0,142350141.0,C,156000.0,2896.0
B2jjjofIdf8,UCMRq9ADyETX-Touo4Srph5g,291.0,Unavailable,5076.0,142350141.0,C,156000.0,3032.0
RAluWZBg6jQ,UCMRq9ADyETX-Touo4Srph5g,175.0,Unavailable,498.0,142350141.0,C,156000.0,2816.0
h2uQSOPwQDQ,UCMRq9ADyETX-Touo4Srph5g,10.0,Unavailable,252.0,142350141.0,C,156000.0,3649.0
Fzzj3IQY_t8,UCMRq9ADyETX-Touo4Srph5g,170.0,Unavailable,45.0,142350141.0,C,156000.0,2962.0
zTGl3DnmAlw,UCMRq9ADyETX-Touo4Srph5g,214.0,Unavailable,45585.0,142350141.0,C,156000.0,3439.0
1dk39j8kKmo,UCMRq9ADyETX-Touo4Srph5g,111.0,Unavailable,32.0,142350141.0,C,156000.0,3127.0
ShlUq60SxBE,UCMRq9ADyETX-Touo4Srph5g,86.0,Unavailable,402.0,142350141.0,C,156000.0,3014.0
GNcN-k3qtaw,UCMRq9ADyETX-Touo4Srph5g,338.0,Unavailable,322.0,142350141.0,C,156000.0,3090.0
